location_id,country,state_union_territory,district,city_category
1,India,Andaman and Nicobar Islands,Nicobars,"Tier 1 City (Mumbai, Delhi, and similar cities)"
2,India,Andaman and Nicobar Islands,Nicobars,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
3,India,Andaman and Nicobar Islands,Nicobars,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
4,India,Andaman and Nicobar Islands,North And Middle Andaman,"Tier 1 City (Mumbai, Delhi, and similar cities)"
5,India,Andaman and Nicobar Islands,North And Middle Andaman,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
6,India,Andaman and Nicobar Islands,North And Middle Andaman,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
7,India,Andaman and Nicobar Islands,South Andamans,"Tier 1 City (Mumbai, Delhi, and similar cities)"
8,India,Andaman and Nicobar Islands,South Andamans,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
9,India,Andaman and Nicobar Islands,South Andamans,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
10,India,Andhra Pradesh,Alluri Sitharama Raju,"Tier 1 City (Mumbai, Delhi, and similar cities)"
11,India,Andhra Pradesh,Alluri Sitharama Raju,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
12,India,Andhra Pradesh,Alluri Sitharama Raju,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
13,India,Andhra Pradesh,Anakapalli,"Tier 1 City (Mumbai, Delhi, and similar cities)"
14,India,Andhra Pradesh,Anakapalli,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
15,India,Andhra Pradesh,Anakapalli,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
16,India,Andhra Pradesh,Ananthapuramu,"Tier 1 City (Mumbai, Delhi, and similar cities)"
17,India,Andhra Pradesh,Ananthapuramu,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
18,India,Andhra Pradesh,Ananthapuramu,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
19,India,Andhra Pradesh,Annamayya,"Tier 1 City (Mumbai, Delhi, and similar cities)"
20,India,Andhra Pradesh,Annamayya,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
21,India,Andhra Pradesh,Annamayya,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
22,India,Andhra Pradesh,Bapatla,"Tier 1 City (Mumbai, Delhi, and similar cities)"
23,India,Andhra Pradesh,Bapatla,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
24,India,Andhra Pradesh,Bapatla,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
25,India,Andhra Pradesh,Chittoor,"Tier 1 City (Mumbai, Delhi, and similar cities)"
26,India,Andhra Pradesh,Chittoor,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
27,India,Andhra Pradesh,Chittoor,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
28,India,Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,"Tier 1 City (Mumbai, Delhi, and similar cities)"
29,India,Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
30,India,Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
31,India,Andhra Pradesh,East Godavari,"Tier 1 City (Mumbai, Delhi, and similar cities)"
32,India,Andhra Pradesh,East Godavari,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
33,India,Andhra Pradesh,East Godavari,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
34,India,Andhra Pradesh,Eluru,"Tier 1 City (Mumbai, Delhi, and similar cities)"
35,India,Andhra Pradesh,Eluru,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
36,India,Andhra Pradesh,Eluru,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
37,India,Andhra Pradesh,Guntur,"Tier 1 City (Mumbai, Delhi, and similar cities)"
38,India,Andhra Pradesh,Guntur,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
39,India,Andhra Pradesh,Guntur,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
40,India,Andhra Pradesh,Kakinada,"Tier 1 City (Mumbai, Delhi, and similar cities)"
41,India,Andhra Pradesh,Kakinada,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
42,India,Andhra Pradesh,Kakinada,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
43,India,Andhra Pradesh,Krishna,"Tier 1 City (Mumbai, Delhi, and similar cities)"
44,India,Andhra Pradesh,Krishna,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
45,India,Andhra Pradesh,Krishna,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
46,India,Andhra Pradesh,Kurnool,"Tier 1 City (Mumbai, Delhi, and similar cities)"
47,India,Andhra Pradesh,Kurnool,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
48,India,Andhra Pradesh,Kurnool,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
49,India,Andhra Pradesh,Nandyal,"Tier 1 City (Mumbai, Delhi, and similar cities)"
50,India,Andhra Pradesh,Nandyal,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
51,India,Andhra Pradesh,Nandyal,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
52,India,Andhra Pradesh,Ntr,"Tier 1 City (Mumbai, Delhi, and similar cities)"
53,India,Andhra Pradesh,Ntr,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
54,India,Andhra Pradesh,Ntr,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
55,India,Andhra Pradesh,Palnadu,"Tier 1 City (Mumbai, Delhi, and similar cities)"
56,India,Andhra Pradesh,Palnadu,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
57,India,Andhra Pradesh,Palnadu,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
58,India,Andhra Pradesh,Parvathipuram Manyam,"Tier 1 City (Mumbai, Delhi, and similar cities)"
59,India,Andhra Pradesh,Parvathipuram Manyam,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
60,India,Andhra Pradesh,Parvathipuram Manyam,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
61,India,Andhra Pradesh,Prakasam,"Tier 1 City (Mumbai, Delhi, and similar cities)"
